state,10.0,100.0,50.0,75.0,90.0,95.0
co,0.52,5.42,1.26,1.8,2.54,3.1
fl,0.56,7.24,1.37,1.93,2.81,3.33
ga,0.73,8.46,2.1,3.48,5.28,6.1
il,0.51,5.86,1.2,1.72,2.41,2.98
la,0.6,21.55,1.68,3.0,5.75,7.23
md,0.55,9.44,1.49,2.18,3.07,3.66
mi,0.74,5.7,1.72,2.42,3.05,3.44
or,0.43,9.37,1.06,1.58,2.33,2.97
tx,0.81,23.46,2.12,3.46,5.34,6.53
wa,0.36,10.8,0.96,1.39,1.95,2.35
